human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7657,0.9152,0.9153,0.7881,0.9485,0.9998,0.9936
0.7007,0.5674,0.7738,0.9283,0.928,0.7869,0.9502,0.9997,0.9938
0.7007,0.5674,0.7763,0.9134,0.9139,0.7876,0.9467,0.9995,0.9925
0.7007,0.5674,0.7819,0.9327,0.9329,0.804,0.9524,0.9999,0.9952
0.7007,0.5674,0.775,0.9144,0.9146,0.788,0.9484,0.9995,0.9925
0.7007,0.5674,0.7767,0.9288,0.9289,0.7904,0.9471,1.0,0.9925
0.7007,0.5674,0.7746,0.8968,0.8974,0.7905,0.9448,0.9993,0.9929
0.7007,0.5674,0.7839,0.9419,0.9421,0.7846,0.9532,1.0,0.9933
0.7007,0.5674,0.7759,0.9405,0.9403,0.7905,0.9505,1.0,0.9944
0.7007,0.5674,0.7797,0.931,0.9316,0.7889,0.9504,1.0,0.9942
