human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.4493,0.5674,0.6583,0.7422,0.7419,0.8426,0.7368,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8425,0.7367,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8426,0.7384,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8426,0.7406,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8427,0.7386,0.5674,0.5674
0.4493,0.5674,0.6582,0.7422,0.742,0.8428,0.7415,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8428,0.7337,0.5674,0.5674
0.4493,0.5674,0.6582,0.7422,0.742,0.8427,0.7359,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8426,0.7417,0.5674,0.5674
0.4493,0.5674,0.6583,0.7422,0.742,0.8427,0.7361,0.5674,0.5674
