human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9538,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.954,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9533,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9545,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9538,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9553,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9536,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.956,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9565,0.9997,0.9983
0.901,0.5674,0.8982,0.9533,0.9535,0.9977,0.9586,0.9997,0.9983
