human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7693,0.8852,0.8841,0.9738,0.8763,0.9916,0.9635
0.7051,0.5674,0.7695,0.8853,0.8842,0.9738,0.8725,0.9916,0.9635
0.7051,0.5674,0.7694,0.8854,0.8843,0.9738,0.8769,0.9916,0.9634
0.7051,0.5674,0.7693,0.8853,0.8842,0.9738,0.8765,0.9916,0.9636
0.7051,0.5674,0.7694,0.8853,0.8842,0.9738,0.8763,0.9916,0.9634
0.7051,0.5674,0.7778,0.8854,0.8847,0.9738,0.8727,0.9916,0.9634
0.7051,0.5674,0.7694,0.8853,0.8842,0.9738,0.878,0.9916,0.9635
0.7051,0.5674,0.7694,0.8853,0.8842,0.9738,0.8775,0.9916,0.9634
0.7051,0.5674,0.7695,0.8853,0.8842,0.9738,0.8727,0.9916,0.9635
0.7051,0.5674,0.7694,0.8853,0.8842,0.9738,0.8704,0.9916,0.9634
