human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7784,0.9171,0.9171,0.4167,0.9022,0.9997,0.9992
0.7015,0.5674,0.7701,0.9236,0.9238,0.4119,0.9029,0.9997,0.9989
0.7015,0.5674,0.7713,0.9255,0.9256,0.4259,0.9031,0.9996,0.9988
0.7015,0.5674,0.7768,0.8994,0.8995,0.3783,0.8958,0.9993,0.9983
0.7015,0.5674,0.776,0.9383,0.9385,0.4097,0.9079,0.9999,0.9993
0.7015,0.5674,0.7742,0.9161,0.9162,0.4105,0.9095,0.9997,0.9983
0.7015,0.5674,0.774,0.9293,0.9294,0.4145,0.906,0.9997,0.9988
0.7015,0.5674,0.7737,0.9283,0.9283,0.4148,0.9021,0.9997,0.9991
0.7015,0.5674,0.779,0.9432,0.9434,0.3938,0.9055,0.9999,0.999
0.7015,0.5674,0.7763,0.9109,0.911,0.4144,0.9113,0.9993,0.9986
