human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.9022,0.5674,0.8943,0.9131,0.9277,0.952,0.8335,0.9886,0.9398
0.9022,0.5674,0.8975,0.917,0.9338,0.9584,0.8422,0.9891,0.9389
0.9022,0.5674,0.8889,0.9103,0.9268,0.9552,0.8375,0.9901,0.946
0.9022,0.5674,0.8884,0.9087,0.9249,0.9561,0.834,0.9917,0.9473
0.9022,0.5674,0.8894,0.9087,0.9259,0.9536,0.834,0.9889,0.9428
0.9022,0.5674,0.8913,0.9105,0.9271,0.9574,0.8443,0.9909,0.9457
0.9022,0.5674,0.8821,0.9015,0.9161,0.9491,0.8373,0.9894,0.9468
0.9022,0.5674,0.8941,0.9073,0.9248,0.9517,0.835,0.9892,0.9347
0.9022,0.5674,0.8892,0.9096,0.9261,0.9541,0.841,0.9905,0.9376
0.9022,0.5674,0.8867,0.9071,0.9227,0.9519,0.8406,0.99,0.9483
