human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7793,0.9167,0.9171,0.8335,0.957,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8334,0.9568,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8334,0.9557,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9172,0.8334,0.9592,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8333,0.9575,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8335,0.9581,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8334,0.9571,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8333,0.9567,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8334,0.9567,0.9997,0.9964
0.7007,0.5674,0.7794,0.9167,0.9171,0.8334,0.9569,0.9997,0.9964
