human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.4493,0.5674,0.6475,0.7644,0.7676,0.8275,0.7274,0.9352,0.7366
0.4493,0.5674,0.6507,0.763,0.7658,0.8298,0.7285,0.9481,0.7606
0.4493,0.5674,0.6522,0.7587,0.762,0.8258,0.7201,0.9453,0.7467
0.4493,0.5674,0.6516,0.7746,0.7754,0.83,0.7285,0.9483,0.779
0.4493,0.5674,0.6474,0.7675,0.7722,0.8212,0.7234,0.9483,0.7296
0.4493,0.5674,0.6393,0.7719,0.7739,0.8289,0.7207,0.944,0.7449
0.4493,0.5674,0.6414,0.7614,0.7673,0.826,0.7205,0.9249,0.7209
0.4493,0.5674,0.6459,0.7621,0.7642,0.8279,0.7236,0.9513,0.7397
0.4493,0.5674,0.6513,0.7628,0.7642,0.82,0.7212,0.936,0.7242
0.4493,0.5674,0.6474,0.7589,0.7629,0.821,0.7215,0.9503,0.7168
