human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.901,0.5674,0.8928,0.9502,0.9502,0.9968,0.9502,0.9996,0.9987
0.901,0.5674,0.8871,0.9457,0.9456,0.9967,0.95,0.9994,0.9978
0.901,0.5674,0.8896,0.9479,0.9478,0.9966,0.9492,0.9996,0.9965
0.901,0.5674,0.8973,0.9499,0.95,0.9967,0.9547,0.9997,0.9982
0.901,0.5674,0.8967,0.9492,0.9494,0.9968,0.9529,0.9995,0.9974
0.901,0.5674,0.8906,0.9425,0.9427,0.9968,0.9493,0.9994,0.9972
0.901,0.5674,0.8932,0.9436,0.9437,0.9968,0.9479,0.9995,0.9974
0.901,0.5674,0.892,0.9447,0.945,0.9967,0.951,0.9994,0.9983
0.901,0.5674,0.894,0.9476,0.9479,0.9972,0.9489,0.9993,0.9975
0.901,0.5674,0.8931,0.9417,0.9419,0.9973,0.9511,0.9995,0.9976
