human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.901,0.5674,0.8766,0.9255,0.9255,0.9973,0.9461,0.9988,0.9972
0.901,0.5674,0.877,0.9268,0.9268,0.9976,0.949,0.9988,0.9972
0.901,0.5674,0.8776,0.9143,0.9141,0.9973,0.9483,0.9989,0.9975
0.901,0.5674,0.876,0.926,0.9262,0.9972,0.95,0.999,0.9976
0.901,0.5674,0.8786,0.9193,0.9194,0.9973,0.9467,0.999,0.9975
0.901,0.5674,0.8755,0.9245,0.9244,0.9975,0.9443,0.9989,0.9976
0.901,0.5674,0.8786,0.9202,0.9202,0.9974,0.9504,0.999,0.9967
0.901,0.5674,0.8788,0.9217,0.9216,0.9974,0.9445,0.9991,0.9975
0.901,0.5674,0.8789,0.9216,0.9215,0.9971,0.9461,0.9988,0.9972
0.901,0.5674,0.8759,0.926,0.9259,0.9975,0.9488,0.9988,0.9974
