human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7686,0.926,0.9261,0.683,0.9263,0.9998,0.9882
0.7007,0.5674,0.7686,0.9243,0.9242,0.6887,0.9235,1.0,0.9789
0.7007,0.5674,0.7603,0.9148,0.9151,0.6945,0.9216,0.9998,0.9894
0.7007,0.5674,0.7584,0.9292,0.9294,0.6892,0.9192,0.9997,0.9842
0.7007,0.5674,0.7534,0.9182,0.9183,0.6944,0.9217,0.9997,0.9861
0.7007,0.5674,0.7622,0.9142,0.9146,0.6885,0.9163,0.9998,0.9844
0.7007,0.5674,0.7646,0.9234,0.9238,0.6976,0.921,1.0,0.9896
0.7007,0.5674,0.7632,0.9298,0.9304,0.6975,0.9229,1.0,0.9879
0.7007,0.5674,0.7676,0.9336,0.9336,0.6895,0.9217,1.0,0.9925
0.7007,0.5674,0.7565,0.9182,0.9178,0.6931,0.9169,0.9995,0.9841
