human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7752,0.8949,0.8941,0.9712,0.872,0.9933,0.9552
0.7051,0.5674,0.7719,0.8899,0.8902,0.972,0.8722,0.9938,0.9563
0.7051,0.5674,0.7756,0.8903,0.8897,0.9717,0.8754,0.9939,0.9555
0.7051,0.5674,0.7776,0.8932,0.8937,0.9702,0.8699,0.993,0.9346
0.7051,0.5674,0.7678,0.8838,0.884,0.9715,0.8686,0.9927,0.9542
0.7051,0.5674,0.7667,0.8867,0.8872,0.9701,0.8744,0.9929,0.9455
0.7051,0.5674,0.7705,0.8874,0.8866,0.9695,0.8773,0.9909,0.9418
0.7051,0.5674,0.7679,0.8874,0.8872,0.9696,0.8743,0.9914,0.9407
0.7051,0.5674,0.7708,0.8903,0.8905,0.9724,0.873,0.9907,0.95
0.7051,0.5674,0.7687,0.8974,0.8976,0.9722,0.8735,0.9935,0.9557
