human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7687,0.8836,0.8835,0.9634,0.8578,0.9914,0.9599
0.7051,0.5674,0.7663,0.8833,0.8833,0.9651,0.8619,0.9908,0.9592
0.7051,0.5674,0.7649,0.8784,0.8792,0.9635,0.867,0.9909,0.9615
0.7051,0.5674,0.7649,0.8832,0.8835,0.9644,0.8602,0.9916,0.9609
0.7051,0.5674,0.7735,0.8844,0.8847,0.9657,0.8698,0.9907,0.9586
0.7051,0.5674,0.7626,0.8841,0.8841,0.9637,0.863,0.9916,0.9609
0.7051,0.5674,0.7693,0.8855,0.8859,0.9629,0.8655,0.9918,0.9598
0.7051,0.5674,0.7589,0.8865,0.8872,0.9676,0.8644,0.9914,0.9608
0.7051,0.5674,0.7756,0.8888,0.8877,0.9659,0.871,0.9906,0.9607
0.7051,0.5674,0.7673,0.8886,0.8886,0.9662,0.8635,0.9919,0.9615
