human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.9022,0.5674,0.8924,0.9156,0.9306,0.9728,0.864,0.983,0.9265
0.9022,0.5674,0.8937,0.921,0.9355,0.9729,0.8696,0.9866,0.9329
0.9022,0.5674,0.892,0.9172,0.9292,0.9715,0.8588,0.9851,0.9297
0.9022,0.5674,0.892,0.9157,0.9289,0.9716,0.8618,0.9859,0.9321
0.9022,0.5674,0.8916,0.9178,0.9312,0.9718,0.8639,0.9859,0.9301
0.9022,0.5674,0.8929,0.917,0.9317,0.9718,0.8625,0.9865,0.9262
0.9022,0.5674,0.892,0.918,0.9315,0.9725,0.8643,0.9848,0.9241
0.9022,0.5674,0.8928,0.918,0.9325,0.972,0.8623,0.9837,0.9303
0.9022,0.5674,0.8949,0.9204,0.9331,0.972,0.8645,0.9859,0.9247
0.9022,0.5674,0.8898,0.9137,0.9283,0.9697,0.8614,0.9841,0.9224
