human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.9022,0.5674,0.8792,0.8936,0.9055,0.9556,0.8408,0.99,0.9437
0.9022,0.5674,0.8666,0.885,0.8989,0.959,0.8467,0.9886,0.948
0.9022,0.5674,0.8775,0.8924,0.9055,0.9625,0.8511,0.9924,0.9606
0.9022,0.5674,0.8779,0.8931,0.9067,0.9612,0.8393,0.9913,0.9608
0.9022,0.5674,0.8781,0.8944,0.9081,0.9611,0.8504,0.9917,0.9614
0.9022,0.5674,0.8712,0.8856,0.8994,0.9599,0.8457,0.9896,0.9496
0.9022,0.5674,0.8769,0.8917,0.905,0.9597,0.8419,0.9885,0.9413
0.9022,0.5674,0.877,0.8895,0.9043,0.9615,0.8512,0.9917,0.9571
0.9022,0.5674,0.8759,0.8897,0.9022,0.9618,0.8458,0.9905,0.9568
0.9022,0.5674,0.877,0.8932,0.9059,0.9624,0.8502,0.9909,0.9543
