human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7738,0.9207,0.9208,0.4155,0.914,0.9997,0.9992
0.7015,0.5674,0.766,0.9153,0.9154,0.4127,0.9041,0.9995,0.9994
0.7015,0.5674,0.7655,0.9236,0.9237,0.4128,0.9043,0.9997,0.9993
0.7015,0.5674,0.7698,0.9224,0.9226,0.4177,0.9117,0.9997,0.9994
0.7015,0.5674,0.7659,0.9169,0.9171,0.4173,0.9034,0.9997,0.9997
0.7015,0.5674,0.7767,0.9254,0.9256,0.4128,0.9089,0.9997,0.9994
0.7015,0.5674,0.7721,0.919,0.9192,0.413,0.9097,0.9996,0.9993
0.7015,0.5674,0.7721,0.9194,0.9195,0.421,0.912,0.9997,0.9994
0.7015,0.5674,0.7695,0.9204,0.9205,0.4138,0.9042,0.9997,0.9995
0.7015,0.5674,0.7641,0.9122,0.9122,0.4134,0.9098,0.9995,0.9991
