human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8706,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8793,0.9828,0.9338
0.9022,0.5674,0.897,0.9194,0.9338,0.9798,0.8725,0.9829,0.9339
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8664,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8652,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8663,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8698,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8711,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8687,0.9828,0.9338
0.9022,0.5674,0.8969,0.9193,0.9337,0.9798,0.8713,0.9828,0.9338
