human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7563,0.8753,0.8744,0.9552,0.8509,0.9929,0.9417
0.7051,0.5674,0.7595,0.8762,0.8758,0.954,0.8531,0.9896,0.9321
0.7051,0.5674,0.7578,0.8883,0.8884,0.9548,0.8549,0.993,0.9327
0.7051,0.5674,0.7603,0.884,0.8852,0.9543,0.8588,0.9925,0.926
0.7051,0.5674,0.7619,0.8923,0.8928,0.9552,0.8551,0.9886,0.9157
0.7051,0.5674,0.7527,0.8841,0.8829,0.9511,0.8534,0.9895,0.9179
0.7051,0.5674,0.7693,0.8957,0.8961,0.9545,0.8535,0.9896,0.9202
0.7051,0.5674,0.7701,0.8968,0.8984,0.9531,0.855,0.9911,0.9226
0.7051,0.5674,0.7619,0.8925,0.8925,0.9548,0.8534,0.9915,0.9287
0.7051,0.5674,0.762,0.889,0.8892,0.955,0.8486,0.9922,0.9316
