human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.901,0.5674,0.8977,0.9519,0.9521,0.9954,0.9485,0.9997,0.9983
0.901,0.5674,0.894,0.9527,0.9529,0.9957,0.9465,0.9995,0.9984
0.901,0.5674,0.8966,0.953,0.9529,0.9948,0.9514,0.9997,0.998
0.901,0.5674,0.8928,0.9467,0.9469,0.9965,0.9485,0.9996,0.9984
0.901,0.5674,0.9002,0.9516,0.9517,0.9946,0.9485,0.9996,0.9985
0.901,0.5674,0.8959,0.9472,0.9471,0.9964,0.9542,0.9995,0.9985
0.901,0.5674,0.8919,0.9528,0.953,0.9956,0.9497,0.9996,0.9983
0.901,0.5674,0.8982,0.9521,0.9525,0.9956,0.9484,0.9995,0.9984
0.901,0.5674,0.8943,0.9501,0.9505,0.9952,0.9519,0.9996,0.9984
0.901,0.5674,0.8909,0.9539,0.9542,0.996,0.952,0.9997,0.9983
